add device 1: /dev/input/event10
add device 3: /dev/input/event1
[1423674091.819426] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003cb            
[1423674091.819430] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.831405] /dev/input/event1: EV_ABS       003f                 0000000f            
[1423674091.831413] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000565            
[1423674091.831416] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003ab            
[1423674091.831420] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.843555] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000005df            
[1423674091.843559] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000394            
[1423674091.843564] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000005            
[1423674091.843568] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MINOR   00000005            
[1423674091.843572] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.856074] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000065c            
[1423674091.856084] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000037d            
[1423674091.856093] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000007            
[1423674091.856100] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MINOR   00000006            
[1423674091.856107] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.868007] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000006de            
[1423674091.868012] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000369            
[1423674091.868014] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000006            
[1423674091.868019] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.880256] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000075f            
[1423674091.880261] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000357            
[1423674091.880265] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.892357] /dev/input/event1: EV_ABS       003f                 0000000a            
[1423674091.892367] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000007d7            
[1423674091.892369] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000345            
[1423674091.892373] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.904657] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000845            
[1423674091.904669] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000033a            
[1423674091.904677] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MINOR   00000005            
[1423674091.904686] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.917019] /dev/input/event1: EV_ABS       003f                 0000000f            
[1423674091.917028] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000089d            
[1423674091.917032] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000332            
[1423674091.917037] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MINOR   00000006            
[1423674091.917040] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.928918] /dev/input/event1: EV_ABS       003f                 00000014            
[1423674091.928924] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000008ec            
[1423674091.928927] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000032a            
[1423674091.928932] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.941099] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674091.941106] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000092b            
[1423674091.941109] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000325            
[1423674091.941113] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.953410] /dev/input/event1: EV_ABS       003f                 0000000c            
[1423674091.953420] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000959            
[1423674091.953423] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000323            
[1423674091.953430] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.965490] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000975            
[1423674091.965500] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.977865] /dev/input/event1: EV_ABS       003f                 0000000f            
[1423674091.977875] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000986            
[1423674091.977877] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000324            
[1423674091.977884] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674091.989888] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000098e            
[1423674091.989893] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000325            
[1423674091.989898] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.002155] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000991            
[1423674092.002164] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000326            
[1423674092.002173] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.014323] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000327            
[1423674092.014341] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.026354] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674092.026362] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000985            
[1423674092.026365] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000032d            
[1423674092.026370] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.038502] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000952            
[1423674092.038507] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000336            
[1423674092.038512] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MINOR   00000005            
[1423674092.038516] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.050869] /dev/input/event1: EV_ABS       003f                 00000014            
[1423674092.050881] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000911            
[1423674092.050887] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000338            
[1423674092.050896] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MINOR   00000006            
[1423674092.050905] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.063005] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674092.063013] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000008ce            
[1423674092.063019] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.075166] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000087c            
[1423674092.075175] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000337            
[1423674092.075182] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.087531] /dev/input/event1: EV_ABS       003f                 0000000f            
[1423674092.087541] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000082a            
[1423674092.087547] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000336            
[1423674092.087554] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.099711] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674092.099722] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000007d1            
[1423674092.099726] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000335            
[1423674092.099730] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.111957] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000077c            
[1423674092.111962] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000334            
[1423674092.111967] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.124128] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000710            
[1423674092.124142] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.136477] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000006b4            
[1423674092.136486] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000338            
[1423674092.136492] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000007            
[1423674092.136500] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.148764] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000643            
[1423674092.148772] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000033c            
[1423674092.148778] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000006            
[1423674092.148786] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.160801] /dev/input/event1: EV_ABS       003f                 00000014            
[1423674092.160810] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000005d4            
[1423674092.160813] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000345            
[1423674092.160817] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.173048] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674092.173055] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000056a            
[1423674092.173059] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000349            
[1423674092.173062] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000007            
[1423674092.173066] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.185228] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000004f6            
[1423674092.185239] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000351            
[1423674092.185246] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MINOR   00000007            
[1423674092.185253] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.197527] /dev/input/event1: EV_ABS       003f                 00000014            
[1423674092.197535] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000485            
[1423674092.197538] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000035c            
[1423674092.197541] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MINOR   00000006            
[1423674092.197545] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.209693] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674092.209702] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000411            
[1423674092.209706] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000036b            
[1423674092.209709] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000006            
[1423674092.209713] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.222032] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000003a1            
[1423674092.222038] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000379            
[1423674092.222042] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000007            
[1423674092.222045] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MINOR   00000007            
[1423674092.222047] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.234340] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000032c            
[1423674092.234348] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000038d            
[1423674092.234354] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MINOR   00000006            
[1423674092.234361] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.246591] /dev/input/event1: EV_ABS       003f                 00000014            
[1423674092.246604] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000002c4            
[1423674092.246608] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000003a2            
[1423674092.246611] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MINOR   00000007            
