add device 1: /dev/input/event10
add device 2: /dev/input/event0
add device 3: /dev/input/event1
add device 4: /dev/input/event7
add device 5: /dev/input/event9
add device 6: /dev/input/event8
add device 7: /dev/input/event6
add device 8: /dev/input/event5
add device 9: /dev/input/event4
add device 10: /dev/input/event3
add device 11: /dev/input/event2
/dev/input/event3: 0002 0002 0000040c
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000a
/dev/input/event1: 0003 0035 0000041b
/dev/input/event1: 0003 0036 0000042e
/dev/input/event1: 0003 0031 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000f
/dev/input/event1: 0003 0035 0000044b
/dev/input/event1: 0003 0036 0000042a
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff4
/dev/input/event3: 0002 0001 00000037
/dev/input/event3: 0002 0002 0000040c
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000047d
/dev/input/event1: 0003 0036 00000424
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000004bc
/dev/input/event1: 0003 0036 0000041b
/dev/input/event1: 0003 0030 00000007
/dev/input/event1: 0003 0031 00000004
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff4
/dev/input/event3: 0002 0001 00000037
/dev/input/event3: 0002 0002 0000040d
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 000004fe
/dev/input/event1: 0003 0036 00000410
/dev/input/event1: 0003 0030 00000006
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000542
/dev/input/event1: 0003 0036 00000403
/dev/input/event1: 0003 0030 00000007
/dev/input/event1: 0003 0031 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff5
/dev/input/event3: 0002 0001 00000037
/dev/input/event3: 0002 0002 0000040e
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000011
/dev/input/event1: 0003 0035 0000058e
/dev/input/event1: 0003 0036 000003fa
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000f
/dev/input/event1: 0003 0035 000005db
/dev/input/event1: 0003 0036 000003e8
/dev/input/event1: 0003 0031 00000004
/dev/input/event1: 0000 0000 00000000
